,tconst,genres_x
117,tt0306174,Drama
118,tt0309577,Comedy
118,tt0309577,Drama
118,tt0309577,Romance
119,tt0309872,Comedy
119,tt0309872,Crime
119,tt0309872,Drama
120,tt0310203,Comedy
120,tt0310203,Crime
121,tt0310778,Comedy
121,tt0310778,Drama
121,tt0310778,Mystery
122,tt0311641,Comedy
122,tt0311641,Drama
123,tt0314012,Comedy
123,tt0314012,Drama
123,tt0314012,Musical
124,tt0314390,Comedy
124,tt0314390,Drama
124,tt0314390,Family
125,tt0315152,Comedy
126,tt0316954,Comedy
126,tt0316954,Drama
126,tt0316954,Romance
127,tt0318032,Comedy
127,tt0318032,Drama
127,tt0318032,Fantasy
128,tt0318116,Comedy
128,tt0318116,Drama
129,tt0318725,Comedy
129,tt0318725,Drama
130,tt0318780,Comedy
130,tt0318780,Drama
130,tt0318780,Romance
131,tt0318806,Comedy
131,tt0318806,Drama
131,tt0318806,Romance
132,tt0320693,Comedy
132,tt0320693,Documentary
133,tt0321440,Comedy
134,tt0322999,Comedy
135,tt0325030,Adventure
135,tt0325030,Comedy
135,tt0325030,Drama
136,tt0327259,Comedy
136,tt0327259,Drama
137,tt0328890,Comedy
137,tt0328890,Drama
137,tt0328890,Romance
138,tt0328955,Comedy
139,tt0328990,Comedy
139,tt0328990,Drama
140,tt0329388,Comedy
140,tt0329388,Drama
141,tt0329485,Adventure
141,tt0329485,Comedy
141,tt0329485,Drama
142,tt0329706,Comedy
142,tt0329706,Drama
143,tt0330080,Comedy
143,tt0330080,Drama
143,tt0330080,Romance
144,tt0336432,Comedy
144,tt0336432,Drama
145,tt0337674,Comedy
146,tt0338135,Comedy
146,tt0338135,Crime
146,tt0338135,Drama
147,tt0338828,Comedy
148,tt0338977,Comedy
148,tt0338977,Drama
148,tt0338977,Romance
149,tt0339028,Comedy
150,tt0339279,Comedy
150,tt0339279,Romance
151,tt0339323,Comedy
152,tt0339525,Comedy
153,tt0339553,Comedy
153,tt0339553,Drama
153,tt0339553,Romance
154,tt0339572,Comedy
155,tt0340181,Comedy
156,tt0343426,Comedy
156,tt0343426,Crime
157,tt0343524,Comedy
157,tt0343524,Crime
157,tt0343524,Drama
